CHEM 1,2019-07-16 02:51:08.720949+00,3
CHEM 100,2019-07-16 02:51:08.720949+00,3
CHEM 120,2019-07-16 02:51:08.720949+00,3
CHEM 120L,2019-07-16 02:51:08.720949+00,3
CHEM 123,2019-07-16 02:51:08.720949+00,3
CHEM 123L,2019-07-16 02:51:08.720949+00,3
CHEM 140,2019-07-16 02:51:08.720949+00,3
CHEM 209,2019-07-16 02:51:08.720949+00,3
CHEM 212,2019-07-16 02:51:08.720949+00,3
CHEM 217,2019-07-16 02:51:08.720949+00,3
CHEM 220,2019-07-16 02:51:08.720949+00,3
CHEM 220L,2019-07-16 02:51:08.720949+00,3
CHEM 221,2019-07-16 02:51:08.720949+00,3
CHEM 224L,2019-07-16 02:51:08.720949+00,3
CHEM 228,2019-07-16 02:51:08.720949+00,3
CHEM 228L,2019-07-16 02:51:08.720949+00,3
CHEM 233,2019-07-16 02:51:08.720949+00,3
CHEM 237,2019-07-16 02:51:08.720949+00,3
CHEM 237L,2019-07-16 02:51:08.720949+00,3
CHEM 240,2019-07-16 02:51:08.720949+00,3
CHEM 250L,2019-07-16 02:51:08.720949+00,3
CHEM 254,2019-07-16 02:51:08.720949+00,3
CHEM 262,2019-07-16 02:51:08.720949+00,3
CHEM 262L,2019-07-16 02:51:08.720949+00,3
CHEM 264,2019-07-16 02:51:08.720949+00,3
CHEM 265,2019-07-16 02:51:08.720949+00,3
CHEM 265L,2019-07-16 02:51:08.720949+00,3
CHEM 266,2019-07-16 02:51:08.720949+00,3
CHEM 266L,2019-07-16 02:51:08.720949+00,3
CHEM 267,2019-07-16 02:51:08.720949+00,3
CHEM 267L,2019-07-16 02:51:08.720949+00,3
CHEM 310,2019-07-16 02:51:08.720949+00,3
CHEM 310L,2019-07-16 02:51:08.720949+00,3
CHEM 313,2019-07-16 02:51:08.720949+00,3
CHEM 313L,2019-07-16 02:51:08.720949+00,3
CHEM 323,2019-07-16 02:51:08.720949+00,3
CHEM 331,2019-07-16 02:51:08.720949+00,3
CHEM 333,2019-07-16 02:51:08.720949+00,3
CHEM 335L,2019-07-16 02:51:08.720949+00,3
CHEM 340,2019-07-16 02:51:08.720949+00,3
CHEM 350,2019-07-16 02:51:08.720949+00,3
CHEM 350L,2019-07-16 02:51:08.720949+00,3
CHEM 356,2019-07-16 02:51:08.720949+00,3
CHEM 357,2019-07-16 02:51:08.720949+00,3
CHEM 360,2019-07-16 02:51:08.720949+00,3
CHEM 360L,2019-07-16 02:51:08.720949+00,3
CHEM 370,2019-07-16 02:51:08.720949+00,3
CHEM 381,2019-07-16 02:51:08.720949+00,3
CHEM 382L,2019-07-16 02:51:08.720949+00,3
CHEM 392A,2019-07-16 02:51:08.720949+00,3
CHEM 392B,2019-07-16 02:51:08.720949+00,3
CHEM 404,2019-07-16 02:51:08.720949+00,3
CHEM 410,2019-07-16 02:51:08.720949+00,3
CHEM 420,2019-07-16 02:51:08.720949+00,3
CHEM 430,2019-07-16 02:51:08.720949+00,3
CHEM 432,2019-07-16 02:51:08.720949+00,3
CHEM 433,2019-07-16 02:51:08.720949+00,3
CHEM 440,2019-07-16 02:51:08.720949+00,3
CHEM 450,2019-07-16 02:51:08.720949+00,3
CHEM 460,2019-07-16 02:51:08.720949+00,3
CHEM 464,2019-07-16 02:51:08.720949+00,3
CHEM 470,2019-07-16 02:51:08.720949+00,3
CHEM 481,2019-07-16 02:51:08.720949+00,3
CHEM 482,2019-07-16 02:51:08.720949+00,3
CHEM 491A,2019-07-16 02:51:08.720949+00,3
CHEM 494A,2019-07-16 02:51:08.720949+00,3
CHEM 494B,2019-07-16 02:51:08.720949+00,3
CHEM 495,2019-07-16 02:51:08.720949+00,3
CHEM 496,2019-07-16 02:51:08.720949+00,3
CHEM 497,2019-07-16 02:51:08.720949+00,3
CHEM 710,2019-07-16 02:51:08.720949+00,3
CHEM 712,2019-07-16 02:51:08.720949+00,3
CHEM 713,2019-07-16 02:51:08.720949+00,3
CHEM 715,2019-07-16 02:51:08.720949+00,3
CHEM 717,2019-07-16 02:51:08.720949+00,3
CHEM 718,2019-07-16 02:51:08.720949+00,3
CHEM 720,2019-07-16 02:51:08.720949+00,3
CHEM 724,2019-07-16 02:51:08.720949+00,3
CHEM 726,2019-07-16 02:51:08.720949+00,3
CHEM 727,2019-07-16 02:51:08.720949+00,3
CHEM 728,2019-07-16 02:51:08.720949+00,3
CHEM 729,2019-07-16 02:51:08.720949+00,3
CHEM 730,2019-07-16 02:51:08.720949+00,3
CHEM 731,2019-07-16 02:51:08.720949+00,3
CHEM 736,2019-07-16 02:51:08.720949+00,3
CHEM 737,2019-07-16 02:51:08.720949+00,3
CHEM 738,2019-07-16 02:51:08.720949+00,3
CHEM 740,2019-07-16 02:51:08.720949+00,3
CHEM 745,2019-07-16 02:51:08.720949+00,3
CHEM 746,2019-07-16 02:51:08.720949+00,3
CHEM 750,2019-07-16 02:51:08.720949+00,3
CHEM 755,2019-07-16 02:51:08.720949+00,3
CHEM 756,2019-07-16 02:51:08.720949+00,3
CHEM 760,2019-07-16 02:51:08.720949+00,3
CHEM 764,2019-07-16 02:51:08.720949+00,3
CHEM 765,2019-07-16 02:51:08.720949+00,3
CHEM 766,2019-07-16 02:51:08.720949+00,3
CHEM 769,2019-07-16 02:51:08.720949+00,3
CHEM 770,2019-07-16 02:51:08.720949+00,3
CHEM 771,2019-07-16 02:51:08.720949+00,3
CHEM 772,2019-07-16 02:51:08.720949+00,3
CHEM 773,2019-07-16 02:51:08.720949+00,3
CHEM 794,2019-07-16 02:51:08.720949+00,3
EARTH 10,2019-07-16 02:51:08.720949+00,3
EARTH 336,2019-07-16 02:51:08.720949+00,3
EARTH 121,2019-07-16 02:51:08.720949+00,3
EARTH 121L,2019-07-16 02:51:08.720949+00,3
EARTH 122,2019-07-16 02:51:08.720949+00,3
EARTH 122L,2019-07-16 02:51:08.720949+00,3
EARTH 123,2019-07-16 02:51:08.720949+00,3
EARTH 123L,2019-07-16 02:51:08.720949+00,3
EARTH 153,2019-07-16 02:51:08.720949+00,3
EARTH 221,2019-07-16 02:51:08.720949+00,3
EARTH 223,2019-07-16 02:51:08.720949+00,3
EARTH 231,2019-07-16 02:51:08.720949+00,3
EARTH 232,2019-07-16 02:51:08.720949+00,3
EARTH 235,2019-07-16 02:51:08.720949+00,3
EARTH 236,2019-07-16 02:51:08.720949+00,3
EARTH 238,2019-07-16 02:51:08.720949+00,3
EARTH 260,2019-07-16 02:51:08.720949+00,3
EARTH 270,2019-07-16 02:51:08.720949+00,3
EARTH 281,2019-07-16 02:51:08.720949+00,3
EARTH 310,2019-07-16 02:51:08.720949+00,3
EARTH 331,2019-07-16 02:51:08.720949+00,3
EARTH 332,2019-07-16 02:51:08.720949+00,3
EARTH 333,2019-07-16 02:51:08.720949+00,3
EARTH 342,2019-07-16 02:51:08.720949+00,3
EARTH 358,2019-07-16 02:51:08.720949+00,3
EARTH 359,2019-07-16 02:51:08.720949+00,3
EARTH 390,2019-07-16 02:51:08.720949+00,3
EARTH 421,2019-07-16 02:51:08.720949+00,3
EARTH 435,2019-07-16 02:51:08.720949+00,3
EARTH 436A,2019-07-16 02:51:08.720949+00,3
EARTH 436B,2019-07-16 02:51:08.720949+00,3
EARTH 437,2019-07-16 02:51:08.720949+00,3
EARTH 438,2019-07-16 02:51:08.720949+00,3
